               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024614,            0.036892,           0.0025653,              0.9912,             0.98199,              0.9921,             0.86739,            0.017755,            0.030746,           0.0019566,            0.006535,            0.006535,            0.006535
                  37,            0.024722,            0.037324,           0.0023732,             0.98989,             0.98095,             0.99197,             0.85554,            0.016601,             0.03058,           0.0019511,            0.006436,            0.006436,            0.006436
                  38,            0.022982,            0.036557,           0.0025042,             0.99074,             0.98232,             0.99157,             0.85726,            0.016275,            0.030632,           0.0020205,            0.006337,            0.006337,            0.006337
                  39,            0.022768,            0.036716,           0.0023202,             0.98386,             0.97728,             0.99337,             0.86406,            0.018851,            0.031685,           0.0019466,            0.006238,            0.006238,            0.006238
                  40,            0.023247,            0.035232,           0.0022632,             0.99144,             0.98311,             0.99117,             0.84128,             0.01723,            0.031034,           0.0019119,            0.006139,            0.006139,            0.006139
                  41,            0.022834,            0.035291,           0.0023717,             0.99246,             0.98458,             0.99284,             0.85915,             0.01653,            0.029101,           0.0018802,             0.00604,             0.00604,             0.00604
                  42,            0.021796,            0.034455,           0.0025102,             0.98953,             0.98374,             0.99109,             0.86312,            0.016408,            0.029928,            0.001893,            0.005941,            0.005941,            0.005941
                  43,            0.021962,            0.033498,           0.0024122,             0.99179,             0.98609,             0.99204,             0.86947,            0.016786,            0.029376,           0.0019166,            0.005842,            0.005842,            0.005842
                  44,            0.021952,             0.03553,           0.0022247,             0.98611,             0.98563,             0.99309,             0.87808,            0.016521,            0.028919,           0.0018629,            0.005743,            0.005743,            0.005743
                  45,            0.022236,            0.035526,           0.0021634,             0.99001,             0.98647,             0.99266,             0.86063,            0.017872,            0.030173,            0.001717,            0.005644,            0.005644,            0.005644
                  46,            0.020726,            0.033585,           0.0020198,              0.9907,             0.98683,             0.99283,             0.88814,            0.016848,            0.028114,           0.0017734,            0.005545,            0.005545,            0.005545
                  47,            0.021566,            0.034037,           0.0021323,             0.99163,             0.98373,             0.99211,             0.89414,            0.016437,            0.027931,           0.0017647,            0.005446,            0.005446,            0.005446
                  48,            0.021673,            0.033772,           0.0021004,             0.99276,             0.98666,             0.99261,             0.86928,            0.015936,            0.028655,           0.0016935,            0.005347,            0.005347,            0.005347
                  49,            0.021224,            0.033516,           0.0020903,             0.98921,             0.98298,             0.99239,             0.87729,            0.014779,             0.02798,           0.0017098,            0.005248,            0.005248,            0.005248
