               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1103,             0.11115,             0.02859,             0.01854,             0.23667,            0.027315,           0.0042203,            0.095367,             0.11195,            0.025064,              0.0865,              0.0015,              0.0015
                   1,            0.088016,             0.11806,            0.020798,             0.73999,             0.29111,             0.42932,             0.12562,            0.081622,             0.17381,            0.016982,            0.072069,           0.0030693,           0.0030693
                   2,            0.079074,             0.09585,            0.016775,             0.80318,             0.32778,             0.39002,             0.16227,            0.065606,            0.098618,            0.015678,            0.057607,           0.0046069,           0.0046069
                   3,            0.074749,             0.08685,            0.015995,             0.69923,             0.24778,              0.2277,            0.099844,            0.076512,            0.078133,            0.015068,            0.043113,           0.0061129,           0.0061129
                   4,            0.079037,             0.07686,            0.016412,            0.095064,             0.67074,             0.12475,            0.038587,            0.071801,            0.071083,            0.014752,            0.028587,           0.0075872,           0.0075872
                   5,            0.080616,            0.074379,            0.016092,            0.090377,             0.78765,             0.12059,            0.035967,            0.083578,            0.062855,             0.01459,             0.01403,           0.0090297,           0.0090297
                   6,            0.084189,            0.072445,            0.016325,             0.42556,             0.79059,             0.61972,             0.27265,            0.081222,            0.064255,            0.015053,            0.009406,            0.009406,            0.009406
                   7,            0.087454,            0.065173,            0.015963,             0.73693,             0.24418,             0.26144,             0.10685,            0.075673,            0.067013,            0.014673,            0.009406,            0.009406,            0.009406
                   8,            0.064887,            0.085003,             0.01585,             0.69628,             0.23556,             0.39182,             0.16575,            0.067678,            0.083916,            0.014256,            0.009307,            0.009307,            0.009307
                   9,            0.062908,            0.069035,            0.015204,             0.18853,             0.82605,             0.29134,             0.16439,            0.052436,            0.067295,            0.013922,            0.009208,            0.009208,            0.009208
                  10,            0.054956,            0.068559,            0.014788,             0.19471,             0.89618,             0.40661,             0.16482,            0.050344,             0.07563,            0.013655,            0.009109,            0.009109,            0.009109
                  11,            0.052709,            0.069729,            0.014601,             0.29844,             0.87839,             0.53942,             0.25323,            0.043672,            0.062843,            0.013364,             0.00901,             0.00901,             0.00901
                  12,            0.050683,             0.06861,            0.014291,             0.39051,             0.87492,              0.6968,             0.38426,            0.042081,            0.070229,            0.012907,            0.008911,            0.008911,            0.008911
                  13,             0.04876,            0.069705,            0.014047,              0.5148,             0.92481,             0.72749,             0.45677,            0.034614,            0.054016,            0.012288,            0.008812,            0.008812,            0.008812
                  14,            0.046512,            0.063584,            0.013476,             0.76863,             0.88667,             0.92776,             0.52758,            0.038522,            0.053726,             0.01194,            0.008713,            0.008713,            0.008713
                  15,            0.044424,             0.06469,            0.012918,             0.80287,             0.86064,             0.92728,             0.49918,            0.037058,            0.051022,            0.011578,            0.008614,            0.008614,            0.008614
                  16,            0.043341,            0.059018,            0.012403,              0.8185,             0.85802,             0.93213,             0.58741,            0.037071,            0.052498,            0.011157,            0.008515,            0.008515,            0.008515
                  17,            0.042759,            0.060046,            0.011995,             0.86281,             0.85536,             0.93535,             0.59839,            0.033428,            0.051785,            0.010685,            0.008416,            0.008416,            0.008416
                  18,            0.040271,            0.061844,            0.011769,             0.83926,             0.85004,             0.92118,             0.59867,            0.030991,            0.049282,            0.010262,            0.008317,            0.008317,            0.008317
                  19,            0.040333,            0.058432,            0.011859,             0.89239,             0.85691,             0.92581,             0.57411,            0.031058,            0.047901,           0.0098263,            0.008218,            0.008218,            0.008218
                  20,            0.039253,             0.05496,            0.011221,             0.91441,             0.85691,             0.92882,             0.54463,             0.03542,            0.049824,           0.0094578,            0.008119,            0.008119,            0.008119
                  21,            0.038611,            0.055316,            0.010825,             0.96443,             0.85691,             0.93803,             0.58605,            0.035354,             0.05043,           0.0093113,             0.00802,             0.00802,             0.00802
                  22,            0.037735,            0.058624,            0.010662,             0.98347,             0.85691,             0.94206,             0.65203,            0.029589,            0.047894,           0.0089546,            0.007921,            0.007921,            0.007921
                  23,            0.035497,            0.054483,           0.0099199,             0.89502,             0.90759,             0.94872,             0.62847,            0.030322,            0.046833,           0.0081173,            0.007822,            0.007822,            0.007822
                  24,            0.036408,            0.054056,           0.0092677,              0.9256,              0.8979,             0.95203,             0.60407,            0.028865,            0.046455,            0.007542,            0.007723,            0.007723,            0.007723
                  25,            0.036154,            0.054338,           0.0085494,             0.95417,             0.89545,              0.9539,             0.61884,              0.0291,            0.045002,           0.0069963,            0.007624,            0.007624,            0.007624
                  26,            0.035742,            0.057397,           0.0084011,             0.96971,              0.9063,             0.96176,             0.67865,            0.027671,            0.043377,            0.006279,            0.007525,            0.007525,            0.007525
                  27,            0.034491,            0.052505,           0.0073775,             0.95625,             0.93578,             0.97045,             0.69544,            0.028049,            0.045124,           0.0055882,            0.007426,            0.007426,            0.007426
                  28,            0.033497,            0.052729,           0.0070337,             0.98441,             0.92227,             0.97581,             0.68782,             0.02859,            0.044056,           0.0051239,            0.007327,            0.007327,            0.007327
                  29,            0.033029,            0.052375,           0.0062005,             0.98125,             0.92988,              0.9767,             0.70846,            0.027672,            0.043316,           0.0045729,            0.007228,            0.007228,            0.007228
                  30,            0.031207,            0.049477,           0.0060872,             0.98878,             0.93099,             0.97842,             0.70404,            0.029286,            0.044323,           0.0041151,            0.007129,            0.007129,            0.007129
                  31,            0.032142,            0.048922,           0.0056453,             0.99153,              0.9543,             0.98383,             0.70218,             0.02821,            0.043507,           0.0038797,             0.00703,             0.00703,             0.00703
                  32,            0.031596,            0.049975,           0.0053495,             0.99222,             0.95335,             0.98433,             0.71468,            0.026914,            0.042873,            0.003706,            0.006931,            0.006931,            0.006931
                  33,            0.031366,            0.050457,           0.0050995,             0.99156,             0.95457,             0.98685,             0.74592,            0.025824,            0.041309,           0.0034197,            0.006832,            0.006832,            0.006832
                  34,            0.031075,            0.052791,           0.0047884,             0.98535,             0.94704,             0.98725,             0.76281,            0.026008,            0.041531,           0.0033173,            0.006733,            0.006733,            0.006733
                  35,            0.030906,            0.049394,           0.0044229,             0.98593,             0.95491,             0.98795,             0.76242,            0.024306,            0.040413,            0.003136,            0.006634,            0.006634,            0.006634
                  36,             0.02966,            0.048784,           0.0047148,             0.96689,             0.95885,             0.98538,             0.78047,            0.022207,            0.039215,           0.0031614,            0.006535,            0.006535,            0.006535
                  37,            0.030178,            0.047981,           0.0046062,             0.98889,             0.96013,             0.98872,             0.76563,            0.023736,            0.040592,           0.0031248,            0.006436,            0.006436,            0.006436
                  38,            0.028085,            0.046105,           0.0041648,             0.98682,             0.96802,             0.98824,             0.77774,            0.024894,            0.041046,           0.0029819,            0.006337,            0.006337,            0.006337
                  39,            0.029545,            0.046868,           0.0043024,             0.99026,             0.97303,             0.99005,             0.75943,            0.021865,            0.038376,            0.002859,            0.006238,            0.006238,            0.006238
                  40,            0.029074,             0.04871,            0.003943,             0.97173,             0.96756,             0.98866,             0.77164,            0.021286,            0.038921,           0.0028676,            0.006139,            0.006139,            0.006139
                  41,            0.027693,            0.047003,           0.0037632,             0.98315,             0.96802,              0.9896,             0.77577,            0.022889,            0.041027,           0.0027746,             0.00604,             0.00604,             0.00604
                  42,            0.026842,            0.045979,           0.0034656,             0.96951,             0.97767,             0.98604,             0.78673,            0.022067,            0.040596,           0.0026733,            0.005941,            0.005941,            0.005941
                  43,            0.027552,            0.047437,           0.0034495,             0.97213,             0.97652,             0.98604,             0.78179,            0.022771,            0.040161,           0.0026217,            0.005842,            0.005842,            0.005842
                  44,            0.026332,            0.048214,           0.0033099,             0.97006,             0.97171,             0.98535,             0.81602,             0.01964,            0.038078,           0.0026809,            0.005743,            0.005743,            0.005743
                  45,            0.026407,             0.04321,            0.003501,             0.97641,             0.97813,             0.98551,             0.79217,            0.021151,            0.039215,           0.0026154,            0.005644,            0.005644,            0.005644
                  46,            0.026892,            0.047211,           0.0033393,             0.97667,             0.97778,             0.98655,              0.7847,            0.020795,            0.038506,           0.0025106,            0.005545,            0.005545,            0.005545
                  47,            0.026198,            0.043971,           0.0031617,             0.97708,             0.97786,             0.98828,              0.8084,            0.019979,            0.038105,           0.0024039,            0.005446,            0.005446,            0.005446
                  48,            0.026556,            0.044709,            0.003059,             0.97921,             0.97683,             0.98765,             0.78262,              0.0208,            0.038422,           0.0024302,            0.005347,            0.005347,            0.005347
                  49,            0.026238,            0.042337,           0.0029851,             0.97796,             0.97926,             0.98521,              0.7896,            0.020621,            0.038673,           0.0024261,            0.005248,            0.005248,            0.005248
                  50,            0.025939,            0.043161,           0.0032336,             0.97626,             0.97708,             0.98361,              0.7817,            0.019835,            0.036377,           0.0024578,            0.005149,            0.005149,            0.005149
                  51,            0.025751,            0.044346,           0.0031382,              0.9763,             0.97704,              0.9842,             0.78068,            0.019339,            0.036346,           0.0024633,             0.00505,             0.00505,             0.00505
                  52,            0.024931,            0.041583,           0.0029201,             0.97436,             0.97763,             0.98866,             0.79667,            0.020525,            0.036617,           0.0023178,            0.004951,            0.004951,            0.004951
                  53,            0.025867,            0.044452,           0.0030543,             0.98143,             0.97848,             0.99038,             0.81293,            0.019123,            0.035595,           0.0022203,            0.004852,            0.004852,            0.004852
                  54,            0.024533,            0.042723,           0.0028442,             0.97741,             0.97863,             0.98791,             0.80434,            0.020663,            0.037151,           0.0022628,            0.004753,            0.004753,            0.004753
                  55,            0.024237,            0.044174,           0.0028381,             0.97785,             0.97779,             0.98839,             0.79237,            0.021352,              0.0378,           0.0023344,            0.004654,            0.004654,            0.004654
                  56,            0.024084,            0.044128,           0.0025003,             0.97787,             0.97848,             0.98877,             0.81145,            0.019647,            0.035999,           0.0021565,            0.004555,            0.004555,            0.004555
                  57,            0.024331,            0.044052,           0.0025584,             0.98259,             0.97878,             0.98987,             0.81342,            0.018764,            0.035004,           0.0020901,            0.004456,            0.004456,            0.004456
                  58,            0.023795,            0.039923,           0.0025608,             0.97805,              0.9778,             0.98623,             0.80875,            0.020136,            0.036297,            0.002266,            0.004357,            0.004357,            0.004357
                  59,            0.023051,            0.041346,           0.0027374,             0.97833,             0.97129,             0.98666,             0.82597,            0.019022,            0.035248,           0.0021562,            0.004258,            0.004258,            0.004258
