               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10716,            0.092931,            0.027443,           0.0070588,             0.29268,           0.0056342,          0.00099663,            0.097161,            0.072629,            0.026475,              0.0874,              0.0014,              0.0014
                   1,            0.096146,             0.10895,             0.02587,           0.0087255,             0.36179,           0.0075635,           0.0015937,            0.089586,            0.078826,            0.025745,            0.073871,           0.0028713,           0.0028713
                   2,            0.087996,              0.1206,             0.02475,            0.008701,             0.36077,           0.0075525,           0.0017327,             0.08255,             0.08298,            0.024756,            0.060313,           0.0043129,           0.0043129
                   3,            0.084831,             0.11937,            0.023166,            0.008701,             0.36077,           0.0087753,           0.0023305,             0.07931,            0.086871,            0.023871,            0.046725,           0.0057248,           0.0057248
                   4,            0.083181,              0.1183,            0.021103,           0.0084069,             0.34858,           0.0082326,           0.0019616,            0.077654,            0.088445,            0.023157,            0.033107,            0.007107,            0.007107
                   5,            0.079559,             0.10951,            0.018053,           0.0070588,             0.29268,            0.009461,           0.0018576,            0.076231,             0.08813,            0.022894,            0.019459,           0.0084594,           0.0084594
                   6,            0.079689,             0.10392,            0.016971,           0.0053922,             0.22358,           0.0071852,           0.0018126,            0.075316,            0.087362,             0.02267,            0.009406,            0.009406,            0.009406
                   7,            0.076377,            0.097325,            0.016578,             0.57074,            0.083333,            0.093829,             0.03031,            0.069387,             0.08167,            0.019828,            0.009406,            0.009406,            0.009406
                   8,            0.073984,            0.096045,             0.01639,             0.61371,              0.1626,             0.11332,            0.036261,            0.065201,            0.075752,            0.018941,            0.009307,            0.009307,            0.009307
                   9,            0.072793,            0.095008,            0.016233,             0.14247,             0.57427,             0.17386,            0.050663,            0.065843,             0.07194,            0.017745,            0.009208,            0.009208,            0.009208
                  10,            0.071419,            0.082231,            0.015293,             0.74635,             0.19106,             0.24824,            0.082648,            0.063234,            0.073911,            0.017184,            0.009109,            0.009109,            0.009109
                  11,            0.068848,             0.08553,             0.01559,             0.73963,             0.16057,             0.22887,            0.075417,            0.060856,            0.066538,            0.014866,             0.00901,             0.00901,             0.00901
                  12,            0.069131,            0.082929,            0.015319,             0.71388,             0.19411,             0.31357,             0.13398,            0.061812,            0.068888,            0.014235,            0.008911,            0.008911,            0.008911
                  13,            0.066934,            0.077423,            0.015487,             0.75672,             0.29776,             0.32361,             0.11695,            0.058905,            0.049629,            0.014718,            0.008812,            0.008812,            0.008812
                  14,            0.065953,            0.078405,            0.015273,             0.38538,             0.72364,             0.52872,             0.24844,            0.053212,            0.050008,             0.01442,            0.008713,            0.008713,            0.008713
                  15,             0.06228,            0.082217,            0.014943,             0.38434,             0.76357,             0.48533,             0.24911,            0.058205,            0.047963,            0.014253,            0.008614,            0.008614,            0.008614
                  16,             0.06158,            0.076905,            0.014689,             0.35625,             0.81226,              0.7155,             0.40005,            0.050941,            0.045331,            0.013805,            0.008515,            0.008515,            0.008515
                  17,            0.057476,            0.075671,            0.014247,             0.30836,             0.81305,             0.46421,             0.16746,            0.058886,            0.043643,            0.013882,            0.008416,            0.008416,            0.008416
                  18,            0.059026,            0.069638,            0.014238,             0.89594,             0.46951,             0.69816,             0.34961,            0.048729,            0.044413,            0.013426,            0.008317,            0.008317,            0.008317
                  19,            0.055556,            0.070191,            0.014465,             0.40109,             0.82197,             0.67128,             0.24141,            0.050346,            0.043945,            0.013172,            0.008218,            0.008218,            0.008218
                  20,            0.056667,            0.072802,            0.014901,             0.92618,             0.47967,             0.73113,             0.39149,            0.047441,            0.043241,            0.013035,            0.008119,            0.008119,            0.008119
                  21,            0.054479,            0.069677,            0.013937,              0.3511,             0.80974,             0.73171,               0.189,             0.05258,            0.043124,            0.013327,             0.00802,             0.00802,             0.00802
                  22,            0.054126,            0.070398,            0.014292,             0.23468,             0.83551,              0.6871,             0.24729,            0.050676,            0.042807,            0.012667,            0.007921,            0.007921,            0.007921
                  23,            0.052072,            0.070751,            0.013956,             0.33472,             0.82617,             0.77992,             0.41128,            0.044653,             0.04907,             0.01282,            0.007822,            0.007822,            0.007822
                  24,            0.050921,            0.068663,            0.013782,             0.43386,             0.83551,             0.82333,             0.34748,            0.046335,            0.041367,            0.012685,            0.007723,            0.007723,            0.007723
